step,K,U,E
424,10.9421085152,-11.9126967663,-0.9705882512
425,10.9682490508,-11.9388376625,-0.9705886117
426,10.9943247183,-11.9649136904,-0.9705889721
427,11.0203301610,-11.9909194938,-0.9705893329
428,11.0462600475,-12.0168497420,-0.9705896946
429,11.0721090657,-12.0426991233,-0.9705900577
430,11.0978719157,-12.0684623384,-0.9705904227
431,11.1235433037,-12.0941340939,-0.9705907902
432,11.1491179345,-12.1197090953,-0.9705911608
433,11.1745905049,-12.1451820398,-0.9705915349
434,11.1999556965,-12.1705476096,-0.9705919132
435,11.2252081686,-12.1958004647,-0.9705922961
436,11.2503425509,-12.2209352353,-0.9705926843
437,11.2753534366,-12.2459465150,-0.9705930784
438,11.3002353748,-12.2708288536,-0.9705934788
439,11.3249828637,-12.2955767498,-0.9705938861
440,11.3495903432,-12.3201846442,-0.9705943010
441,11.3740521885,-12.3446469123,-0.9705947239
442,11.3983627024,-12.3689578577,-0.9705951553
443,11.4225161094,-12.3931117052,-0.9705955959
444,11.4465065487,-12.4171025947,-0.9705960460
445,11.4703280679,-12.4409245741,-0.9705965063
446,11.4939746170,-12.4645715941,-0.9705969771
447,11.5174400426,-12.4880375016,-0.9705974590
448,11.5407180820,-12.5113160344,-0.9705979524
449,11.5638023583,-12.5344008161,-0.9705984578
450,11.5866863752,-12.5572853507,-0.9705989754
451,11.6093635126,-12.5799630184,-0.9705995058
452,11.6318270224,-12.6024270716,-0.9706000492
453,11.6540700244,-12.6246706304,-0.9706006060
454,11.6760855035,-12.6466866800,-0.9706011765
455,11.6978663066,-12.6684680675,-0.9706017609
456,11.7194051404,-12.6900074997,-0.9706023594
457,11.7406945692,-12.7112975414,-0.9706029722
458,11.7617270143,-12.7323306138,-0.9706035995
459,11.7824947531,-12.7530989945,-0.9706042414
460,11.8029899189,-12.7735948168,-0.9706048979
461,11.8232045021,-12.7938100712,-0.9706055691
462,11.8431303512,-12.8137366060,-0.9706062548
463,11.8627591747,-12.8333661299,-0.9706069551
464,11.8820825448,-12.8526902146,-0.9706076698
465,11.9010919002,-12.8717002989,-0.9706083987
466,11.9197785509,-12.8903876924,-0.9706091415
467,11.9381336838,-12.9087435817,-0.9706098980
