step,K,U,E
414,0.0741993403,-0.1490603990,-0.0748610587
415,0.0739854092,-0.1488464862,-0.0748610770
416,0.0737904392,-0.1486515334,-0.0748610943
417,0.0736141729,-0.1484752833,-0.0748611105
418,0.0734563681,-0.1483174937,-0.0748611256
419,0.0733167975,-0.1481779373,-0.0748611398
420,0.0731952482,-0.1480564012,-0.0748611530
421,0.0730915215,-0.1479526867,-0.0748611652
422,0.0730054322,-0.1478666088,-0.0748611766
423,0.0729368084,-0.1477979955,-0.0748611870
424,0.0728854915,-0.1477466881,-0.0748611966
425,0.0728513353,-0.1477125406,-0.0748612054
426,0.0728342061,-0.1476954194,-0.0748612133
427,0.0728339825,-0.1476952029,-0.0748612203
428,0.0728505550,-0.1477117816,-0.0748612266
429,0.0728838257,-0.1477450578,-0.0748612321
430,0.0729337084,-0.1477949451,-0.0748612368
431,0.0730001281,-0.1478613688,-0.0748612407
432,0.0730830213,-0.1479442651,-0.0748612439
433,0.0731823352,-0.1480435815,-0.0748612463
434,0.0732980283,-0.1481592762,-0.0748612479
435,0.0734300697,-0.1482913186,-0.0748612489
436,0.0735784394,-0.1484396884,-0.0748612491
437,0.0737431281,-0.1486043766,-0.0748612485
438,0.0739241370,-0.1487853843,-0.0748612472
439,0.0741214783,-0.1489827235,-0.0748612452
440,0.0743351743,-0.1491964168,-0.0748612425
441,0.0745652582,-0.1494264973,-0.0748612390
442,0.0748117739,-0.1496730087,-0.0748612349
443,0.0750747757,-0.1499360056,-0.0748612299
444,0.0753543286,-0.1502155529,-0.0748612242
445,0.0756505087,-0.1505117265,-0.0748612178
446,0.0759634025,-0.1508246131,-0.0748612106
447,0.0762931077,-0.1511543104,-0.0748612027
448,0.0766397329,-0.1515009269,-0.0748611940
449,0.0770033981,-0.1518645826,-0.0748611845
450,0.0773842343,-0.1522454085,-0.0748611742
451,0.0777823843,-0.1526435474,-0.0748611631
452,0.0781980023,-0.1530591535,-0.0748611512
453,0.0786312547,-0.1534923932,-0.0748611385
454,0.0790823198,-0.1539434446,-0.0748611248
455,0.0795513882,-0.1544124986,-0.0748611104
456,0.0800386632,-0.1548997582,-0.0748610950
457,0.0805443611,-0.1554054398,-0.0748610787
458,0.0810687112,-0.1559297727,-0.0748610615
459,0.0816119565,-0.1564729998,-0.0748610433
460,0.0821743538,-0.1570353779,-0.0748610241
461,0.0827561742,-0.1576171780,-0.0748610039
462,0.0833577034,-0.1582186860,-0.0748609826
463,0.0839792423,-0.1588402026,-0.0748609603
